# Image list with two lines of data per image:
# IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
# POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 0
1 0.3083649575710297 0.6363261938095093 0.6363262534141541 -0.3083649575710297 0.0000002533183476 0.0000004768371582 4.8414874076843262 1 frame_001.png

2 0.2878713905811310 0.5895282030105591 0.6781746745109558 -0.3311581909656525 0.0000006353478739 0.0000002160668373 4.8244080543518066 1 frame_002.png

3 0.2657007277011871 0.5399856567382812 0.7165850996971130 -0.3525966703891754 -0.0000006987468737 0.0000001937150955 4.8075022697448730 1 frame_003.png

4 0.2419416457414627 0.4879507720470428 0.7513781785964966 -0.3725575208663940 -0.0000000279858625 0.0000000298023224 4.7907733917236328 1 frame_004.png

5 0.2166923582553864 0.4336872696876526 0.7823929190635681 -0.3909234106540680 0.0000010859916983 0.0000005960464478 4.7742228507995605 1 frame_005.png

6 0.1900592297315598 0.3774701058864594 0.8094873428344727 -0.4075832366943359 0.0000000553451400 -0.0000002980232239 4.7578525543212891 1 frame_006.png

7 0.1621570587158203 0.3195820450782776 0.8325396180152893 -0.4224336147308350 -0.0000002300389355 0.0000005960464478 4.7416634559631348 1 frame_007.png

8 0.1331084519624710 0.2603138983249664 0.8514486551284790 -0.4353780150413513 0.0000000031112108 -0.0000001788139343 4.7256593704223633 1 frame_008.png

9 0.1030431464314461 0.1999626904726028 0.8661336898803711 -0.4463289082050323 0.0000000573529988 -0.0000001788139343 4.7098407745361328 1 frame_009.png

10 0.0720977336168289 0.1388296186923981 0.8765355944633484 -0.4552071988582611 -0.0000000541487921 0.0000006258487701 4.6942090988159180 1 frame_010.png

11 0.0404147654771805 0.0772190392017365 0.8826168775558472 -0.4619430303573608 -0.0000001290544560 0.0000008419156075 4.6787676811218262 1 frame_011.png

12 0.0081423856317997 0.0154365552589297 0.8843614459037781 -0.4664764404296875 0.0000000598885848 -0.0000001420266926 4.6635169982910156 1 frame_012.png

13 0.0245665628463030 0.0462118834257126 -0.8817749023437500 0.4687579274177551 0.0000000768709612 0.0000004414469004 4.6484599113464355 1 frame_013.png

14 0.0575550384819508 0.1074222922325134 -0.8748845458030701 0.4687482416629791 -0.0000001628925759 0.0000012367963791 4.6335978507995605 1 frame_014.png

15 0.0906626582145691 0.1678939461708069 -0.8637390732765198 0.4664190411567688 0.0000000890845229 0.0000006854534149 4.6189327239990234 1 frame_015.png

16 0.1237264573574066 0.2273303121328354 -0.8484082221984863 0.4617534279823303 0.0000000832787066 0.0000002384185791 4.6044664382934570 1 frame_016.png

17 0.1565815806388855 0.2854414582252502 -0.8289821743965149 0.4547459781169891 0.0000000406345393 -0.0000000000000000 4.5902009010314941 1 frame_017.png

18 0.1890621632337570 0.3419448435306549 -0.8055716156959534 0.4454027116298676 -0.0000004731535626 -0.0000000596046448 4.5761380195617676 1 frame_018.png

19 0.2210022509098053 0.3965668976306915 -0.7783064842224121 0.4337414801120758 -0.0000004931363833 0.0000005364418030 4.5622797012329102 1 frame_019.png

20 0.2522363364696503 0.4490445852279663 -0.7473356723785400 0.4197918474674225 -0.0000004462793299 0.0000003278255463 4.5486283302307129 1 frame_020.png

21 0.2826004922389984 0.4991260766983032 -0.7128260135650635 0.4035953879356384 -0.0000007163738474 0.0000015199184418 4.5351848602294922 1 frame_021.png

22 0.3119328618049622 0.5465729832649231 -0.6749614477157593 0.3852050304412842 -0.0000002094635079 -0.0000000447034836 4.5219516754150391 1 frame_022.png

23 0.3400750458240509 0.5911604166030884 -0.6339420080184937 0.3646860420703888 -0.0000015637577917 -0.0000001657754183 4.5089302062988281 1 frame_023.png

24 0.3668727576732635 0.6326789259910583 -0.5899826884269714 0.3421143889427185 -0.0000004840910037 0.0000002318993211 4.4961228370666504 1 frame_024.png

25 0.3921759426593781 0.6709350347518921 -0.5433125495910645 0.3175778985023499 -0.0000008939840654 0.0000007301568985 4.4835305213928223 1 frame_025.png

26 0.4158406555652618 0.7057525515556335 -0.4941732585430145 0.2911747097969055 0.0000001621000933 -0.0000003725290298 4.4711561203002930 1 frame_026.png

27 0.4377292990684509 0.7369727492332458 -0.4428179264068604 0.2630142569541931 0.0000002920346844 -0.0000001192092896 4.4590005874633789 1 frame_027.png

28 0.4577114284038544 0.7644559144973755 -0.3895097672939301 0.2332156151533127 0.0000000655547083 -0.0000002980232239 4.4470663070678711 1 frame_028.png

29 0.4756646156311035 0.7880814075469971 -0.3345207273960114 0.2019076943397522 -0.0000003489124083 0.0000001788139343 4.4353547096252441 1 frame_029.png

30 0.4914751648902893 0.8077484369277954 -0.2781301438808441 0.1692285090684891 -0.0000007370485946 0.0000004768371582 4.4238686561584473 1 frame_030.png

31 0.5050385594367981 0.8233764171600342 -0.2206230610609055 0.1353246718645096 0.0000000378543170 0.0000006556510925 4.4126081466674805 1 frame_031.png

32 0.5162604451179504 0.8349054455757141 -0.1622891575098038 0.1003508567810059 0.0000002222886764 -0.0000003725290298 4.4015760421752930 1 frame_032.png

33 0.5250572562217712 0.8422961235046387 -0.1034209579229355 0.0644689053297043 0.0000001785898576 -0.0000003650784492 4.3907737731933594 1 frame_033.png

34 0.5313563942909241 0.8455302119255066 -0.0443123616278172 0.0278472043573856 0.0000000453642315 -0.0000000447034836 4.3802032470703125 1 frame_034.png

35 0.5350970029830933 0.8446103334426880 0.0147427292540669 -0.0093401512131095 -0.0000000075007627 0.0000001997686923 4.3698654174804688 1 frame_035.png

36 0.5362303256988525 0.8395599126815796 0.0734519883990288 -0.0469140931963921 0.0000001497345039 0.0000001750886440 4.3597621917724609 1 frame_036.png

37 0.5347204208374023 0.8304229974746704 0.1315260827541351 -0.0846913978457451 0.0000000076967899 0.0000001192092896 4.3498969078063965 1 frame_037.png

38 0.5305439233779907 0.8172638416290283 0.1886802315711975 -0.1224857196211815 0.0000001172329291 0.0000000894069672 4.3402686119079590 1 frame_038.png

39 0.5236908197402954 0.8001666665077209 0.2446355521678925 -0.1601083576679230 0.0000002813013680 0.0000004470348358 4.3308801651000977 1 frame_039.png

40 0.5141644477844238 0.7792350649833679 0.2991203367710114 -0.1973692774772644 0.0000001837540680 0.0000007152557373 4.3217329978942871 1 frame_040.png

41 0.5019816756248474 0.7545913457870483 0.3518718183040619 -0.2340780049562454 0.0000010597464097 0.0000009536743164 4.3128290176391602 1 frame_041.png

42 0.4871730506420135 0.7263759374618530 0.4026368260383606 -0.2700445353984833 0.0000009707326853 0.0000011920928955 4.3041691780090332 1 frame_042.png

43 0.4697825610637665 0.6947464346885681 0.4511736929416656 -0.3050803840160370 0.0000004004654102 0.0000006109476089 4.2957549095153809 1 frame_043.png

44 0.4498679637908936 0.6598768234252930 0.4972528517246246 -0.3389999568462372 0.0000005102992873 0.0000006109476089 4.2875881195068359 1 frame_044.png

45 0.4275004863739014 0.6219565272331238 0.5406585335731506 -0.3716205060482025 0.0000000408652774 -0.0000001527369022 4.2796702384948730 1 frame_045.png

46 0.4027643799781799 0.5811891555786133 0.5811892151832581 -0.4027643501758575 0.0000000809610441 -0.0000001192092896 4.2720022201538086 1 frame_046.png

47 0.3757568895816803 0.5377919077873230 0.6186589598655701 -0.4322589337825775 0.0000010440962797 -0.0000008288770914 4.2645854949951172 1 frame_047.png

48 0.3465883135795593 0.4919938147068024 0.6528978347778320 -0.4599381089210510 -0.0000003953923624 0.0000002458691597 4.2574214935302734 1 frame_048.png

49 0.3153802752494812 0.4440347552299500 0.6837536692619324 -0.4856431782245636 0.0000006782470905 0.0000009536743164 4.2505111694335938 1 frame_049.png

50 0.2822670340538025 0.3941644728183746 0.7110916972160339 -0.5092232227325439 0.0000003642833803 0.0000004172325134 4.2438564300537109 1 frame_050.png

51 0.2473934739828110 0.3426406979560852 0.7347954511642456 -0.5305369496345520 -0.0000000104334106 0.0000000596046448 4.2374577522277832 1 frame_051.png

52 0.2109151482582092 0.2897281646728516 0.7547675371170044 -0.5494527816772461 -0.0000001369711953 0.0000000596046448 4.2313170433044434 1 frame_052.png

53 0.1729975342750549 0.2356969118118286 0.7709299325942993 -0.5658497214317322 0.0000007339950798 0.0000000298023224 4.2254352569580078 1 frame_053.png

54 0.1338154226541519 0.1808214634656906 0.7832238674163818 -0.5796183347702026 0.0000000066440951 0.0000001490116119 4.2198128700256348 1 frame_054.png

55 0.0935515835881233 0.1253788173198700 0.7916106581687927 -0.5906613469123840 -0.0000000229067787 0.0000002011656761 4.2144513130187988 1 frame_055.png

56 0.0523964427411556 0.0696472972631454 0.7960713505744934 -0.5988941788673401 -0.0000003509153430 -0.0000004842877388 4.2093515396118164 1 frame_056.png

57 0.0105471527203918 0.0139047922566533 0.7966067790985107 -0.6042459011077881 0.0000001641206495 0.0000008667120710 4.2045149803161621 1 frame_057.png

